G70 3.3T-GDI 2WD_19인치 타이어_20MY,현대,휘발유,9,7.9,10.6,NULL,2659967,5등급,3342,2019,2019 제네시스 G70
"G80 2.2디젤 2WD (18""타이어) (15)",현대,경유,13.8,12.3,16.1,NULL,1652217,2등급,2199,2016,
"G80 2.2디젤 2WD (19""타이어) (15)",현대,경유,13.1,11.7,15.3,NULL,1740504,3등급,2199,2016,
G80 2.2디젤 2WD 18인치 (빌트인캠),현대,경유,14.4,12.5,17.7,NULL,1583375,2등급,2151,2020,
G80 2.2디젤 2WD 18인치타이어,현대,경유,14.6,12.6,18.1,NULL,1561685,2등급,2151,2020,
"G80 2.2디젤 2WD 19MY (18""타이어)",현대,경유,13.8,12.3,16.1,NULL,1652217,2등급,2199,2016,
G80 2.2디젤 2WD 19인치 (SP),현대,경유,13.9,12.1,16.9,NULL,1640331,2등급,2151,2021,
G80 2.2디젤 2WD 19인치타이어,현대,경유,14.4,12.5,17.5,NULL,1583375,2등급,2151,2020,
"G80 2.2디젤 AWD (19""타이어) (15)",현대,경유,12.1,10.8,14.1,NULL,1884347,3등급,2199,2016,
G80 2.2디젤 AWD 18인치 (빌트인캠),현대,경유,13,11.5,15.5,NULL,1753892,3등급,2151,2020,
G80 2.2디젤 AWD 18인치타이어,현대,경유,13,11.5,15.5,NULL,1753892,3등급,2151,2020,
"G80 2.2디젤 AWD 19MY (18""타이어)",현대,경유,12.2,10.9,14.2,NULL,1868902,3등급,2199,2016,
G80 2.2디젤 AWD 19인치 (SP),현대,경유,12.7,11.2,15.1,NULL,1795323,3등급,2151,2021,
G80 2.2디젤 AWD 19인치타이어,현대,경유,12.7,11.3,15,NULL,1795323,3등급,2151,2020,
G80 2.5T-GDI 2WD 18인치 (빌트인캠),현대,휘발유,10.7,9.5,12.9,NULL,2237355,4등급,2497,2020,
G80 2.5T-GDI 2WD 18인치타이어,현대,휘발유,10.8,9.5,13,NULL,2216639,4등급,2497,2020,
